Timestamp,X,Y
2024-03-30 20:30:57.044314,1465,1142
2024-03-30 20:30:57.145050,1465,1142
2024-03-30 20:30:57.246563,1465,1142
2024-03-30 20:30:57.348627,1465,1142
2024-03-30 20:30:57.451091,1465,1142
2024-03-30 20:30:57.553615,1465,1142
2024-03-30 20:30:57.655472,1538,1084
2024-03-30 20:30:57.756116,2238,878
2024-03-30 20:30:57.856880,2409,833
2024-03-30 20:30:57.959312,2375,541
2024-03-30 20:30:58.062272,2030,499
2024-03-30 20:30:58.164904,1782,571
2024-03-30 20:30:58.266114,1659,677
2024-03-30 20:30:58.368659,1614,773
2024-03-30 20:30:58.471171,1736,782
2024-03-30 20:30:58.574137,1911,754
2024-03-30 20:30:58.675140,2135,743
2024-03-30 20:30:58.776555,2282,818
2024-03-30 20:30:58.879381,2443,1100
