Timestamp,X,Y
2024-04-02 16:36:02.172285,3386,92
2024-04-02 16:36:02.273033,3386,92
2024-04-02 16:36:02.375505,3141,176
2024-04-02 16:36:02.477910,3141,177
2024-04-02 16:36:02.580526,3141,177
2024-04-02 16:36:02.681586,3141,177
2024-04-02 16:36:02.784512,3141,177
2024-04-02 16:36:02.886744,3060,199
2024-04-02 16:36:02.989277,2753,276
2024-04-02 16:36:03.092311,2610,284
2024-04-02 16:36:03.194886,2454,293
2024-04-02 16:36:03.297910,2168,344
2024-04-02 16:36:03.400446,1980,367
2024-04-02 16:36:03.503203,2015,352
2024-04-02 16:36:03.603791,2130,317
2024-04-02 16:36:03.706420,2174,307
2024-04-02 16:36:03.809500,2194,305
2024-04-02 16:36:03.911227,2124,347
2024-04-02 16:36:04.014131,2029,402
2024-04-02 16:36:04.115423,2426,331
2024-04-02 16:36:04.217810,2447,330
2024-04-02 16:36:04.321204,2451,329
2024-04-02 16:36:04.424466,2453,329
2024-04-02 16:36:04.527204,2443,331
2024-04-02 16:36:04.628538,2383,351
2024-04-02 16:36:04.731359,2350,363
2024-04-02 16:36:04.832060,2343,366
2024-04-02 16:36:04.935128,2339,367
2024-04-02 16:36:05.036984,2322,372
2024-04-02 16:36:05.139903,2322,372
2024-04-02 16:36:05.242705,2322,372
2024-04-02 16:36:05.345191,2322,372
2024-04-02 16:36:05.448159,2322,372
2024-04-02 16:36:05.551224,2313,374
2024-04-02 16:36:05.652509,2299,378
2024-04-02 16:36:05.755413,2287,378
2024-04-02 16:36:05.856624,2271,378
