Timestamp,X,Y
2024-04-02 12:20:31.626956,1768,1598
2024-04-02 12:20:31.731083,1768,1598
2024-04-02 12:20:31.831585,1768,1598
2024-04-02 12:20:31.934292,1768,1598
2024-04-02 12:20:32.036206,1768,1598
2024-04-02 12:20:32.139038,1768,1598
2024-04-02 12:20:32.241824,1768,1598
2024-04-02 12:20:32.344027,1768,1598
2024-04-02 12:20:32.445340,1768,1598
2024-04-02 12:20:32.548171,1768,1598
2024-04-02 12:20:32.650773,1646,1908
2024-04-02 12:20:32.751056,1826,2690
2024-04-02 12:20:32.853814,2217,2812
2024-04-02 12:20:32.956034,2605,2780
2024-04-02 12:20:33.058028,2603,2801
2024-04-02 12:20:33.159806,2285,2794
2024-04-02 12:20:33.263378,2159,2769
2024-04-02 12:20:33.366347,1968,2786
2024-04-02 12:20:33.468511,1604,2460
2024-04-02 12:20:33.570683,1587,2413
2024-04-02 12:20:33.673032,1813,2449
2024-04-02 12:20:33.775292,1998,2477
2024-04-02 12:20:33.878211,1998,2477
2024-04-02 12:20:33.981208,1998,2477
2024-04-02 12:20:34.083731,2390,2376
2024-04-02 12:20:34.186993,2465,2331
2024-04-02 12:20:34.289587,2530,2286
2024-04-02 12:20:34.391129,2560,2266
2024-04-02 12:20:34.492983,2549,2233
2024-04-02 12:20:34.594983,2119,2349
2024-04-02 12:20:34.697703,2104,2365
2024-04-02 12:20:34.800094,1878,2431
2024-04-02 12:20:34.902073,1825,2418
2024-04-02 12:20:35.005259,1825,2418
2024-04-02 12:20:35.108792,1825,2418
2024-04-02 12:20:35.212240,1776,2422
2024-04-02 12:20:35.315205,1085,2547
2024-04-02 12:20:35.418070,999,2587
2024-04-02 12:20:35.521190,999,2587
2024-04-02 12:20:35.622516,420,2597
2024-04-02 12:20:35.726089,366,2573
2024-04-02 12:20:35.830418,366,2562
